Date,Close,High,Low,Open,Volume
2020-01-02,5820.927734375,5899.236179232063,5812.226796057548,5825.278203533726,49445000
2020-01-03,5916.63720703125,5916.63720703125,5851.3801790125235,5873.132521685432,47755500
2020-01-06,5860.0810546875,5873.13246015451,5820.92683828647,5847.02964922049,27300000
2020-01-07,5864.431640625,5890.534452081788,5855.730703472737,5860.081172048868,45022500
2020-01-08,5812.2255859375,5868.781673225814,5803.524649431605,5803.524649431605,53692500
2020-01-09,5864.431640625,5877.483046353394,5855.730703472737,5864.431640625,40363500
2020-01-10,5851.380859375,5938.39024018355,5838.329452253717,5886.18461169842,73362000
2020-01-13,5868.7822265625,5881.83363255189,5860.08128923624,5864.4317578993705,67855000
2020-01-14,5977.5439453125,5990.595351306632,5864.431760030022,5868.782228694733,93582000
2020-01-15,5947.09130859375,6142.862419703273,5916.63802464338,5977.54459254412,75623500
2020-01-16,5960.14208984375,5994.945839273495,5912.286934377851,5920.987871735288,88931500
2020-01-17,5981.89404296875,5994.945448153409,5916.637017045455,5951.440764204545,38249500
2020-01-20,5947.09130859375,6068.904444395232,5942.7408394579825,6047.152098716396,93554500
2020-01-21,5942.74072265625,5999.296820309641,5938.3902536059895,5990.595882209119,103984500
2020-01-22,5951.44140625,5999.296563756397,5947.090937385782,5964.492812842654,94311500
2020-01-23,5951.44140625,5999.296563756397,5942.740468521564,5990.595626027961,87728000
2020-01-24,5925.337890625,5986.244447503671,5925.337890625,5934.038827321953,69653500
2020-01-27,5951.44140625,6038.450783534357,5929.689061928911,5973.193750571089,39679000
2020-01-28,5907.93701171875,5955.792171607488,5877.48372815319,5947.0912334459,82615000
2020-01-29,5903.5849609375,5955.790575919998,5890.533557191876,5916.636364683125,43821000
2020-01-30,5864.431640625,5955.791480723758,5855.730703472737,5955.791480723758,71990000
2020-01-31,5638.20703125,5920.987476490162,5638.20703125,5916.637008101852,163136500
2020-02-03,5603.40380859375,5729.567403663019,5542.4972454568615,5638.207558957686,149797000
2020-02-04,5742.6181640625,5760.020037286932,5673.010671164773,5716.515354225852,113316500
2020-02-05,5855.72998046875,5899.234660858562,5786.12249184505,5899.234660858562,123002500
2020-02-06,5864.431640625,5899.235389234051,5812.226017711424,5864.431640625,154693500
2020-02-07,5881.833984375,5899.235860068417,5833.978826218103,5838.329295141457,82609000
2020-02-10,5903.5849609375,5903.5849609375,5768.720455566046,5881.832621361459,66578500
2020-02-11,5899.236328125,5903.586797393528,5868.783043245298,5903.586797393528,77526500
2020-02-12,5916.63720703125,5916.63720703125,5881.833458754596,5916.63720703125,69971500
2020-02-13,5907.93701171875,5934.039826203517,5864.432320910807,5934.039826203517,49737000
2020-02-14,5812.2255859375,5912.286355755286,5807.875117684553,5899.234950996444,147028500
2020-02-17,5847.0302734375,5873.133087158203,5812.2265218098955,5812.2265218098955,115319000
2020-02-18,5825.27685546875,5847.029196228528,5803.524514708971,5816.5759191648385,98436500
2020-02-19,5825.27685546875,5881.832941444174,5799.174046557016,5799.174046557016,74594000
2020-02-20,5738.2685546875,5825.277933833633,5712.16574094366,5820.927464876327,136724500
2020-02-21,5755.6689453125,5794.82315582483,5738.267073973687,5742.61754180839,98261000
2020-02-24,5677.361328125,5742.618354885058,5664.309922772989,5712.165075730364,84910000
2020-02-25,5681.712890625,5707.8157063552835,5664.311013471478,5699.114767778522,86446500
2020-02-26,5586.00146484375,5686.062238746715,5586.00146484375,5655.608959732768,92824500
2020-02-27,5472.89013671875,5633.8574936810655,5394.581692791136,5629.507024573976,129254500
2020-02-28,5472.89013671875,5472.89013671875,5251.016212257179,5394.581692791136,169946500
2020-03-02,5290.169921875,5472.889606676604,5251.015703703228,5472.889606676604,144871500
2020-03-03,5498.9921875,5525.0949985166135,5394.580943433544,5394.580943433544,114663500
2020-03-04,5603.40380859375,5655.609434139655,5446.786931956036,5494.642088706449,83025000
2020-03-05,5599.05322265625,5690.413065450175,5516.394317271271,5690.413065450175,77583000
2020-03-06,5394.58154296875,5525.095612556704,5394.58154296875,5525.095612556704,77835500
2020-03-09,5033.49169921875,5255.3655770581245,5033.49169921875,5220.561831514693,140889500
2020-03-10,5155.30517578125,5229.263140328322,5081.347211234177,5081.347211234177,133667000
2020-03-11,5090.04833984375,5203.160525173612,5037.842715845353,5177.057713174413,93204500
2020-03-12,4837.720703125,4907.328195256295,4750.711337960881,4872.524449190647,129845500
2020-03-13,4837.720703125,4837.720703125,4837.720703125,4837.720703125,0
2020-03-16,4837.720703125,4837.720703125,4837.720703125,4837.720703125,0
2020-03-17,4454.88037109375,4789.8664927482605,4454.88037109375,4781.165554523468,212200000
2020-03-18,4350.46923828125,4681.104900390625,4145.997184082031,4454.8805,180053500
2020-03-19,4045.93603515625,4346.118386151714,4045.93603515625,4346.118386151714,264419000
2020-03-20,4119.8935546875,4685.454443926545,3763.155147629026,4002.4309084609295,335132000
2020-03-23,3854.51513671875,4350.468551601298,3832.7627939607437,4141.646061124436,217843500
2020-03-24,3915.42138671875,4346.117739257813,3871.916704644097,3871.916704644097,253971000
2020-03-26,4594.0947265625,4694.155501856949,4045.9356966885657,4045.9356966885657,331633000
2020-03-27,4794.21630859375,5129.202384602569,4659.351784486304,4663.7022530058985,269683000
2020-03-30,4781.16552734375,4833.3711563957295,4485.333629382535,4768.114120080755,159964500
2020-03-31,4807.267578125,4968.234908795249,4772.463830953055,4924.730224830317,182638500
2020-04-01,4768.11328125,5003.038570654653,4720.258129704607,4837.720774406934,152831500
2020-04-02,4707.2080078125,4759.413641910235,4663.703312731053,4759.413641910235,136623500
2020-04-03,4781.16552734375,4811.618810957404,4668.053331064462,4750.712243730096,110506000
2020-04-06,4989.9873046875,4994.337773130994,4781.1648193997935,4802.9171616172625,78184000
2020-04-07,4920.38037109375,5307.57210675011,4855.123336994363,4989.987874133096,149153500
2020-04-08,4902.97802734375,4924.73036996728,4768.113503077861,4920.379901442574,106111500
2020-04-09,4868.17431640625,4955.183687566327,4785.515413804178,4872.524784964254,89997000
